stopwords
あそこ
あたり
あたり
あちら
あっち
あと
あと
あな
あなた
あれ
いい
いう
いく
いくつ
いくつ
いける
いただく
いつ
いま
いや
いる
いろいろ
うち
うどん
おいしい
おいしかっ
おいしく
おおまか
おく
おすすめ
おまえ
おる
おれ
がい
かかる
かく
かける
かたち
かまくら
かやの
から
がら
がる
ヵ月
カ月
ヵ所
カ所
きた
きり
きれい
くせ
くださる
くる
くれる
ヶ月
ヶ所
こ
ここ
ここ
こちら
こちら
こっち
ごっちゃ
こと
こと
ごと
これ
これ
これら
ごろ
ご飯
さ
さまざま
さらい
さん
さん
しかた
しまう
しよう
しれる
すか
すぎる
すごく
ずつ
すね
すべて
せい
せる
ぜんぶ
そう
そう
そこ
そこ
そちら
そっち
そで
その後
それ
それ
それぞれ
それぞれ
それなり
たくさん
たくさん
たち
たち
たつ
たび
ため
ため
だめ
たんぽ
ちゃ
ちゃん
つく
つける
できる
てる
てん
とおり
とき
とき
どこ
どこ
どこか
ところ
ところ
どちら
どちら
どっか
どっち
とる
どれ
どれ
ない
なか
なか
なかっ
なかば
なく
なし
など
なに
なる
なん
にくい
の
ハイ
はげ
はじめ
はず
はるか
びっくり
ひと
ひとつ
ふく
ぶり
べつ
へん
ぺん
ほう
ほう
ほか
ほか
まさ
まし
まとも
まま
みたい
みたい
みつ
みなさん
みる
みんな
め
もと
もの
もの
もらう
もん
やすい
やつ
やる
よい
よう
よう
よかっ
よく
よそ
られる
レ
れる
わかる
わけ
わけ
わたし
ん
哀
扱い
以下
以後
以降
以上
以前
違い
一
一つ
員
右
円
億
屋
俺
下
下記
化
何
何人
夏
家
火
箇月
箇所
課
我々
会
回
界
外
各
確か
楽
感
感じ
観
間
関係
喜
器
幾つ
気
紀
境
玉
近く
金
九
区
係
形
系
結局
月
県
見
元
個
五
後
口
向こう
校
行
高
国
頃
今
今回
左
歳
際
作
三
四
士
子
市
私
誌
事
字
時
時間
時点
次
自体
自分
式
七
室
者
手
手段
首
秋
週
集
十
春
所
書
女
上
上記
場
場合
情
伸
新た
人
水
数
性
席
先
千
線
前
前回
全部
束
村
他
多く
体
台
第
達
誰
段
男
地
中
兆
町
通
的
店
点
都
度
土
奴
怒
冬
等
同じ
道
内
二
日
年
年生
八
半ば
彼
彼女
匹
百
秒
品
婦
府
部
分
文
別
簿
方
方法
法
本当
枚
毎
毎日
万
未満
名
名前
面
木
目
様
様々
用
略
力
輪
類
例
歴
列
連
六
論
話
あたり
あと
いい
いう
いく
いくつ
いける
がる
きり
きれい
くださる
くる
くれる
こ
ここ
こちら
こと
これ
さ
さん
しまう
しれる
すぎる
すごく
せい
せる
そう
そこ
それ
それぞれ
たくさん
たち
たつ
ため
つく
つける
てる
できる
とき
ところ
とる
どこ
どちら
どれ
ない
なか
なかっ
なく
なし
なる
にくい
の
びっくり
ほう
ほか
みたい
みる
め
もの
もらう
やすい
やる
よい
よう
よかっ
よく
られる
れる
わかる
わけ
ん
あたり
あと
いい
いう
いく
いくつ
いける
がる
きり
きれい
くださる
くる
くれる
こ
ここ
こちら
こと
これ
さ
さん
しまう
しれる
すぎる
すごく
せい
せる
そう
そこ
それ
それぞれ
たくさん
たち
たつ
ため
つく
つける
てる
できる
とき
ところ
とる
どこ
どちら
どれ
ない
なか
なかっ
なく
なし
なる
にくい
の
びっくり
ほう
ほか
みたい
みる
め
もの
もらう
やすい
やる
よい
よう
よかっ
よく
られる
れる
わかる
わけ
ん
かかる
かける
がる
きり
きれい
くださる
くる
くれる
こ
ここ
こちら
こと
これ
さ
さん
しまう
しれる
すぎる
すごく
せい
せる
そう
そこ
びっくり
ほう
ほか
みたい
みる
め
もの
もらう
やすい
やる
よい
よう
よかっ
よく
られる
れる
わかる
わけ
ん
ここ
こちら
こと
これ
さ
さん
しまう
しれる
すぎる
すごく
せい
せる
そう
そこ
そば
それ
それぞれ
たくさん
たち
たつ
ため
つく
つける
てる
できる
とき
ところ
とる
どこ
どちら
どれ
ない
なか
なかっ
なく
なし
なる
にくい
の
びっくり
ほう
ほか
みたい
みる
め
もの
もらう
やすい
やる
よい
よう
よかっ
よく
られる
れる
わかる
わけ
ん
いい
ここ
こちら
こと
これ
さ
さん
そう
それ
ため
ところ
ない
もの
よう
