0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
"('駅', 0.03271757909841282)","('こと', 0.031667875072510655)","('よう', 0.024553214452507063)","('温泉', 0.02117083481348896)","('店', 0.0198878632262752)","('さ', 0.018604891639061438)","('ここ', 0.018254990297094046)","('利用', 0.01813835651643825)","('ホテル', 0.01778845517447086)","('中', 0.01778845517447086)","('方', 0.017321920051847673)","('観光', 0.017205286271191878)","('人', 0.0163888498066013)","('場', 0.015572413342010726)","('部屋', 0.015222512000043336)","('時', 0.014522709316108558)","('時間', 0.014406075535452761)","('角館', 0.014406075535452761)","('そう', 0.014056174193485371)","('ところ', 0.014056174193485371)","('場所', 0.013822906632173778)","('宿泊', 0.013356371509550592)","('円', 0.013123103948238998)","('的', 0.013123103948238998)","('良い', 0.013123103948238998)","('近く', 0.013123103948238998)","('もの', 0.013006470167583202)","('食事', 0.013006470167583202)","('分', 0.012889836386927405)","('さん', 0.012773202606271608)","('前', 0.012656568825615812)","('屋敷', 0.012423301264304219)","('雰囲気', 0.012190033702992625)","('駐車', 0.012190033702992625)","('武家', 0.012073399922336829)","('料理', 0.011840132361025235)","('いい', 0.01102369589643466)","('湯', 0.01067379455446727)","('感じ', 0.010557160773811473)","('客', 0.010207259431844083)","('通り', 0.010207259431844083)","('私', 0.010090625651188286)","('一', 0.009857358089876693)","('施設', 0.009857358089876693)","('風呂', 0.009857358089876693)","('建物', 0.0096240905285651)","('車', 0.0096240905285651)","('朝食', 0.009507456747909305)","('県', 0.009507456747909305)","('バス', 0.009390822967253508)","('宿', 0.009157555405941915)","('ため', 0.009040921625286118)","('便利', 0.009040921625286118)","('市', 0.008924287844630322)","('館', 0.008924287844630322)","('多く', 0.008807654063974525)","('無料', 0.008807654063974525)","('味', 0.008691020283318729)","('道', 0.008691020283318729)","('目', 0.008457752722007135)","('徒歩', 0.008224485160695542)","('それ', 0.008107851380039745)","('ない', 0.008107851380039745)","('感', 0.008107851380039745)","('展示', 0.007991217599383949)","('広く', 0.007991217599383949)","('有名', 0.007991217599383949)","('所', 0.007757950038072356)","('日', 0.007757950038072356)","('何', 0.007641316257416559)","('レストラン', 0.007524682476760762)","('階', 0.007291414915449168)","('こちら', 0.007174781134793372)","('土産', 0.007174781134793372)","('屋', 0.007174781134793372)","('露天風呂', 0.007058147354137575)","('内', 0.006941513573481778)","('街', 0.006941513573481778)","('地', 0.006824879792825982)","('今回', 0.006708246012170185)","('良かっ', 0.0065916122315143886)","('田沢湖', 0.006474978450858592)","('地元', 0.006241710889546999)","('これ', 0.0060084433282354055)","('沿い', 0.005891809547579609)","('多い', 0.005658541986268016)","('綺麗', 0.005658541986268016)"
"('こと', 0.03384688884547176)","('駅', 0.03116501642496751)","('よう', 0.025157622203037983)","('温泉', 0.02161755060797237)","('店', 0.02097390122705135)","('ここ', 0.019150227981108457)","('利用', 0.01893567818746812)","('人', 0.018184753909726927)","('中', 0.01797020411608659)","('方', 0.017541104528805907)","('いい', 0.016575630457424377)","('ホテル', 0.015931981076503357)","('部屋', 0.015931981076503357)","('場', 0.015288331695582335)","('観光', 0.014644682314661315)","('的', 0.014430132521020975)","('さん', 0.014108307830560465)","('もの', 0.014108307830560465)","('時間', 0.014108307830560465)","('時', 0.013679208243279785)","('円', 0.013464658449639446)","('感じ', 0.013357383552819275)","('ところ', 0.013035558862358765)","('分', 0.013035558862358765)","('ない', 0.012606459275078086)","('さ', 0.012499184378257915)","('前', 0.012499184378257915)","('角館', 0.012499184378257915)","('そう', 0.012391909481437745)","('駐車', 0.011962809894157064)","('一', 0.011855534997336895)","('場所', 0.011748260100516725)","('宿泊', 0.011640985203696554)","('食事', 0.011640985203696554)","('こちら', 0.011533710306876385)","('良い', 0.011426435410056213)","('車', 0.010675511132315024)","('湯', 0.010460961338674683)","('近く', 0.010353686441854514)","('バス', 0.010139136648214173)","('道', 0.010031861751394004)","('味', 0.009710037060933492)","('無料', 0.009602762164113323)","('風呂', 0.009602762164113323)","('土産', 0.009388212370472982)","('宿', 0.009173662576832643)","('雰囲気', 0.009173662576832643)","('建物', 0.009066387680012472)","('料理', 0.009066387680012472)","('田沢湖', 0.009066387680012472)","('露天風呂', 0.009066387680012472)","('屋敷', 0.008959112783192303)","('階', 0.008959112783192303)","('所', 0.008851837886372131)","('武家', 0.008851837886372131)","('館', 0.008851837886372131)","('便利', 0.008744562989551962)","('屋', 0.008637288092731793)","('私', 0.008637288092731793)","('地元', 0.008530013195911621)","('多い', 0.008530013195911621)","('広く', 0.008530013195911621)","('施設', 0.008530013195911621)","('有名', 0.008530013195911621)","('ため', 0.008422738299091452)","('県', 0.008422738299091452)","('多く', 0.008315463402271283)","('沿い', 0.008208188505451111)","('レストラン', 0.008100913608630942)","('日', 0.008100913608630942)","('通り', 0.008100913608630942)","('市', 0.007993638711810771)","('何', 0.007886363814990601)","('地', 0.007886363814990601)","('これ', 0.007779088918170431)","('それ', 0.007779088918170431)","('朝食', 0.007779088918170431)","('目', 0.007457264227709921)","('今回', 0.007349989330889751)","('感', 0.007135439537249411)","('街', 0.007135439537249411)","('綺麗', 0.0068136148467889)","('展示', 0.006491790156328389)","('徒歩', 0.00627724036268805)","('客', 0.006169965465867879)","('内', 0.006062690569047709)","('良かっ', 0.006062690569047709)"
"('こと', 0.04203430217220838)","('駅', 0.034126610835952045)","('よう', 0.025124008391598677)","('中', 0.021352647908153347)","('温泉', 0.020987677538787667)","('利用', 0.018919512112382166)","('ホテル', 0.018432884953227927)","('方', 0.01697300347576522)","('時間', 0.016729689896188102)","('店', 0.016608033106399543)","('人', 0.015999749157456746)","('的', 0.015999749157456746)","('分', 0.01563477878809107)","('部屋', 0.01563477878809107)","('観光', 0.015513121998302513)","('時', 0.015148151628936837)","('場', 0.015026494839148277)","('もの', 0.014539867679994042)","('円', 0.014296554100416923)","('近く', 0.013931583731051246)","('ところ', 0.013809926941262686)","('さ', 0.013566613361685569)","('場所', 0.013079986202531332)","('ない', 0.012593359043377097)","('良い', 0.01222838867401142)","('そう', 0.01210673188422286)","('一', 0.01210673188422286)","('いい', 0.011255134355702946)","('駐車', 0.011255134355702946)","('ここ', 0.011133477565914388)","('宿泊', 0.011011820776125829)","('角館', 0.01089016398633727)","('さん', 0.010768507196548711)","('雰囲気', 0.010768507196548711)","('食事', 0.010768507196548711)","('前', 0.010646850406760153)","('車', 0.010646850406760153)","('施設', 0.010525193616971592)","('所', 0.010403536827183034)","('内', 0.010160223247605916)","('市', 0.010160223247605916)","('無料', 0.010160223247605916)","('風呂', 0.009916909668028797)","('屋敷', 0.009551939298663121)","('バス', 0.009430282508874562)","('日', 0.009430282508874562)","('朝食', 0.009430282508874562)","('ため', 0.009308625719086002)","('何', 0.009308625719086002)","('料理', 0.009308625719086002)","('便利', 0.009186968929297443)","('建物', 0.009186968929297443)","('感じ', 0.009186968929297443)","('こちら', 0.009065312139508884)","('味', 0.008943655349720326)","('階', 0.008943655349720326)","('武家', 0.008821998559931767)","('湯', 0.008821998559931767)","('道', 0.008821998559931767)","('館', 0.008821998559931767)","('地元', 0.008700341770143206)","('多く', 0.008578684980354648)","('露天風呂', 0.008578684980354648)","('沿い', 0.008457028190566089)","('私', 0.008457028190566089)","('客', 0.008213714610988972)","('田沢湖', 0.008213714610988972)","('地', 0.008092057821200413)","('展示', 0.008092057821200413)","('良かっ', 0.007848744241623294)","('有名', 0.0076054306620461755)","('レストラン', 0.007483773872257616)","('通り', 0.007483773872257616)","('多い', 0.007362117082469057)","('街', 0.007362117082469057)","('それ', 0.007118803502891939)","('土産', 0.007118803502891939)","('屋', 0.007118803502891939)","('目', 0.007118803502891939)","('宿', 0.006875489923314821)","('県', 0.006875489923314821)","('綺麗', 0.006875489923314821)","('広く', 0.006753833133526262)","('今回', 0.006388862764160585)","('これ', 0.006267205974372025)","('感', 0.006267205974372025)","('徒歩', 0.006145549184583467)"
"('こと', 0.03325475436669058)","('駅', 0.031288492043356306)","('よう', 0.028975242251198338)","('温泉', 0.023654767729235013)","('中', 0.02180416789550864)","('ホテル', 0.01821863071766379)","('店', 0.01821863071766379)","('人', 0.01810296822805589)","('ここ', 0.0174089932904085)","('的', 0.017293330800800602)","('もの', 0.016368030883937415)","('方', 0.016368030883937415)","('利用', 0.015558393456682128)","('部屋', 0.015558393456682128)","('場', 0.01544273096707423)","('さ', 0.014748756029426841)","('時間', 0.014286106070995248)","('感じ', 0.013939118602171553)","('そう', 0.013823456112563654)","('近く', 0.013707793622955756)","('円', 0.013476468643739959)","('分', 0.013476468643739959)","('場所', 0.01336080615413206)","('ところ', 0.01266683121648467)","('良い', 0.01266683121648467)","('角館', 0.01266683121648467)","('駐車', 0.01266683121648467)","('観光', 0.012204181258053077)","('一', 0.01197285627883728)","('食事', 0.01197285627883728)","('さん', 0.011625868810013585)","('宿泊', 0.011394543830797788)","('施設', 0.011394543830797788)","('時', 0.011163218851581991)","('湯', 0.010931893872366195)","('ない', 0.010700568893150398)","('建物', 0.0105849064035425)","('料理', 0.0105849064035425)","('武家', 0.0105849064035425)","('前', 0.010469243913934601)","('屋敷', 0.010469243913934601)","('雰囲気', 0.010237918934718804)","('バス', 0.010122256445110906)","('日', 0.010122256445110906)","('通り', 0.00989093146589511)","('こちら', 0.009775268976287211)","('館', 0.009775268976287211)","('内', 0.009543943997071414)","('市', 0.009543943997071414)","('露天風呂', 0.009543943997071414)","('車', 0.009196956528247719)","('多く', 0.009081294038639822)","('良かっ', 0.009081294038639822)","('道', 0.009081294038639822)","('風呂', 0.009081294038639822)","('いい', 0.008849969059424026)","('所', 0.008849969059424026)","('私', 0.008734306569816127)","('階', 0.008734306569816127)","('宿', 0.008387319100992432)","('目', 0.008387319100992432)","('これ', 0.008271656611384534)","('味', 0.008271656611384534)","('地', 0.008040331632168737)","('便利', 0.007809006652952939)","('朝食', 0.007693344163345041)","('ため', 0.007577681673737143)","('今回', 0.007577681673737143)","('有名', 0.007577681673737143)","('屋', 0.007462019184129244)","('展示', 0.007346356694521345)","('徒歩', 0.007346356694521345)","('地元', 0.007230694204913447)","('広く', 0.007230694204913447)","('無料', 0.007230694204913447)","('レストラン', 0.007115031715305549)","('何', 0.007115031715305549)","('土産', 0.007115031715305549)","('県', 0.007115031715305549)","('感', 0.006999369225697651)","('街', 0.006999369225697651)","('多い', 0.006883706736089752)","('客', 0.006883706736089752)","('田沢湖', 0.006883706736089752)","('綺麗', 0.006652381756873956)","('沿い', 0.0063053942880502605)","('それ', 0.006189731798442362)"
"('駅', 0.03128430222829672)","('こと', 0.02963452366117034)","('よう', 0.024177563785290776)","('温泉', 0.02278159730541461)","('いい', 0.022273973130914185)","('中', 0.021385630825538442)","('店', 0.019355134127536745)","('人', 0.01859369786578611)","('方', 0.01821297973491079)","('ホテル', 0.01719773138590994)","('さん', 0.01605557699328399)","('場', 0.01504032864428314)","('時', 0.01504032864428314)","('利用', 0.01465961051340782)","('観光', 0.014532704469782715)","('時間', 0.014278892382532502)","('良い', 0.01402508029528229)","('部屋', 0.01402508029528229)","('さ', 0.01364436216440697)","('食事', 0.01364436216440697)","('場所', 0.013517456120781866)","('もの', 0.013263644033531653)","('分', 0.013263644033531653)","('的', 0.013009831946281442)","('一', 0.012629113815406122)","('感じ', 0.012629113815406122)","('ここ', 0.01237530172815591)","('ところ', 0.01237530172815591)","('ない', 0.012248395684530804)","('円', 0.012248395684530804)","('近く', 0.011867677553655486)","('角館', 0.01174077151003038)","('そう', 0.011613865466405273)","('雰囲気', 0.011613865466405273)","('駐車', 0.011613865466405273)","('前', 0.010852429204654637)","('湯', 0.010852429204654637)","('宿泊', 0.01072552316102953)","('施設', 0.01072552316102953)","('通り', 0.01072552316102953)","('車', 0.010598617117404424)","('料理', 0.010217898986529106)","('市', 0.010090992942904)","('建物', 0.010090992942904)","('私', 0.009837180855653788)","('屋敷', 0.009710274812028682)","('風呂', 0.009710274812028682)","('こちら', 0.009583368768403575)","('武家', 0.00945646272477847)","('ため', 0.009329556681153364)","('露天風呂', 0.009329556681153364)","('味', 0.009202650637528257)","('所', 0.009202650637528257)","('日', 0.00907574459390315)","('有名', 0.00882193250665294)","('館', 0.00882193250665294)","('何', 0.008695026463027833)","('県', 0.008695026463027833)","('これ', 0.008568120419402726)","('バス', 0.008568120419402726)","('地', 0.008441214375777622)","('朝食', 0.008441214375777622)","('綺麗', 0.008441214375777622)","('街', 0.008441214375777622)","('道', 0.008441214375777622)","('屋', 0.008314308332152515)","('多い', 0.008187402288527408)","('宿', 0.008187402288527408)","('目', 0.008060496244902302)","('内', 0.007933590201277195)","('多く', 0.007933590201277195)","('階', 0.007933590201277195)","('土産', 0.00780668415765209)","('広く', 0.0075528720704018774)","('田沢湖', 0.0075528720704018774)","('展示', 0.007299059983151665)","('客', 0.007172153939526559)","('レストラン', 0.007045247895901453)","('地元', 0.007045247895901453)","('徒歩', 0.007045247895901453)","('感', 0.007045247895901453)","('便利', 0.0069183418522763464)","('沿い', 0.006791435808651241)","('無料', 0.0065376237214010285)","('今回', 0.006283811634150816)","('それ', 0.00615690559052571)","('良かっ', 0.005649281416025285)"
