0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
"('駅', 0.06290939149432054)","('秋田', 0.06037819306083036)","('施設', 0.020513075138752203)","('便利', 0.01829929510004521)","('街', 0.01729698686006041)","('徒歩', 0.015674953554039906)","('バス', 0.01545203184078289)","('利用', 0.015194230452146785)","('ホテル', 0.013937175850664616)","('市内', 0.013743449242555158)","('場所', 0.013086115097640115)","('駅前', 0.012957634138246108)","('階', 0.010945893004314691)","('館', 0.010351850988825502)","('地元', 0.00982302053146955)","('無料', 0.009664559102718028)","('横手', 0.009429444845383404)","('中心', 0.008606054139264819)","('飲食', 0.008050773238045091)","('コンビニ', 0.007670788963299662)","('大館', 0.007647689167523903)","('アクセス', 0.0070644349662018135)","('駐車', 0.006847142775123028)","('建物', 0.006846319738076574)","('広く', 0.006810642421573156)","('祭り', 0.006727480442003263)","('併設', 0.0062363807011996605)","('千秋公園', 0.006217971424947635)","('隣', 0.005792120361284387)","('良い', 0.005711081507078544)"
"('秋田', 0.03370311303331664)","('味', 0.02135937970837667)","('料理', 0.016515827690802905)","('土産', 0.015878446635912185)","('美味しい', 0.015553645475156948)","('レストラン', 0.014301097138600524)","('メニュー', 0.013928996274260969)","('美味しかっ', 0.013172338320979382)","('稲庭', 0.011963001739988276)","('店内', 0.01160288122701548)","('名物', 0.011536200237235662)","('鶏', 0.010909205420559663)","('注文', 0.01086640791487473)","('値段', 0.010020719831728565)","('種類', 0.009889512129772965)","('階', 0.009322258900484081)","('ラーメン', 0.008942697172265195)","('雰囲気', 0.008275178630143305)","('セット', 0.008143601734500563)","('テーブル', 0.008134304762664454)","('地元', 0.008098048119762336)","('食事', 0.00783753034585429)","('ランチ', 0.007441168877130949)","('普通', 0.007359552182199886)","('丼', 0.00721517226268804)","('販売', 0.006730451186514985)","('酒', 0.006666314634457681)","('麺', 0.006609833465260791)","('郷土', 0.006523104858267667)","('豊富', 0.006504314242585942)"
"('温泉', 0.042374413443962)","('部屋', 0.02968584932634911)","('ホテル', 0.02295756186968655)","('宿泊', 0.022107398858189686)","('湯', 0.019073952756008167)","('食事', 0.017892776412559798)","('露天風呂', 0.01738566575245681)","('風呂', 0.016879745234972612)","('利用', 0.015974024544196875)","('宿', 0.014609255472728412)","('朝食', 0.013739614527291636)","('良かっ', 0.010077001696138553)","('お湯', 0.010055275252900158)","('乳頭', 0.009619567467523476)","('良い', 0.008869440607066056)","('満足', 0.008847777348378643)","('浴場', 0.008793046862680383)","('日帰り', 0.008486197742896271)","('夕食', 0.008136604809642753)","('入浴', 0.008129190336723767)","('雰囲気', 0.006953241730405385)","('源泉', 0.006813540984777707)","('良く', 0.006664780194876353)","('泉', 0.006576099284775649)","('温泉郷', 0.006390599507447707)","('清潔', 0.006380000631801925)","('質', 0.006223043048072816)","('バイキング', 0.0061884411530218715)","('泊', 0.005758765349796023)","('快適', 0.005742710151172086)"
"('角館', 0.029949236225414965)","('武家', 0.023385511694249562)","('屋敷', 0.022398707229665818)","('通り', 0.015587779552279015)","('場所', 0.013627519560444279)","('桜', 0.013213308819216334)","('館', 0.012369309381615613)","('時期', 0.012358198518876255)","('展示', 0.012082658012449723)","('展望', 0.01044700376638178)","('建物', 0.009543458980377046)","('車', 0.009492514517852805)","('公園', 0.00943501902988111)","('歴史', 0.009356955875551912)","('駐車', 0.008914607874879582)","('景色', 0.00863223642698795)","('時代', 0.008540734477759823)","('紅葉', 0.008228173192479347)","('男鹿半島', 0.008048509038980075)","('散策', 0.007981727561086116)","('城', 0.007874907007568854)","('見学', 0.007679832177695398)","('料', 0.00767204089835929)","('男鹿', 0.007651537047395426)","('資料', 0.006739952197208214)","('山', 0.006451281540948304)","('日本', 0.006409373050084893)","('無料', 0.005892874163722438)","('佐竹', 0.005782843669767452)","('氏', 0.005680204431318598)"
"('観光', 0.03741498545834524)","('秋田', 0.021491785221207635)","('駅', 0.020499442051843488)","('田沢湖', 0.020139221727446827)","('客', 0.01904310118815557)","('駐車', 0.0157038627229957)","('国道', 0.014758174274020852)","('号', 0.014272263708630342)","('湖', 0.013417965258914802)","('像', 0.012622837129617294)","('写真', 0.011875181710025988)","('側', 0.009515029643981337)","('新幹線', 0.009340665705977356)","('車', 0.009201923855492518)","('沿い', 0.009162458818416621)","('青森', 0.008783777900100622)","('案内', 0.008670934409635971)","('多い', 0.008514294095350252)","('駅舎', 0.008405176886092233)","('良い', 0.007945474086992244)","('列車', 0.007875665051565204)","('東北', 0.007768753346166854)","('雰囲気', 0.007700733597329547)","('途中', 0.007548195593743543)","('周辺', 0.007472141443818544)","('有名', 0.00731726290958294)","('湖畔', 0.006548670625835256)","('広い', 0.006330224227022406)","('周囲', 0.0063273952516110345)","('スペース', 0.006288382298859007)"
